RepairOrderNo	CustID	Qty	Description	Material	Condition	Color	SizeWgt	Price
12554	"1707"	1	"Bimini"	"acrylic"		"Tan"	"8'3x9'2=75.65'"	0.0000
12555	"25923"	1	"Patio"	"A+Graphics"		"Green"	"33'x17'1=563.64'"	0.0000
12556	"25931"	1	"Patio"	"Acrylic"	"NewS24"	"Navy"		0.0000
12556	"25931"	1	"Single"	"Acrylic"	"NewS24"	"Navy"		0.0000
12556	"25931"	1	"Single"	"Acrylic"	"NewS24"	"Navy"		0.0000
12557	"22997"	1	"Patio"	"Acrylic"		"Green"	"28'1x13'1-cutout=346.65'"	0.0000
12558	"25935"	1	"Patio"	"Acrylic"	"NewF23"	"Navy"	"8'1x10"	0.0000
12559	"25936"	1	"Patio"	"Acrylic"	"NewF23"	"Green"	"15'3x9'9=148.69"	0.0000
12560	"23095"	1	"L-shape patio"	"Firesist?"		"Green"	"40x6'7+33'7x6'6=481.47'"	0.0000
12560	"23095"	1	"Large patio"	"Firesist?"		"Green"	"53'5x14'6=775.75'"	0.0000
12561	"17424"	1	"Umbrella cover"	"Acrylic"		"Tan/Blue"	"10x10=100'"	0.0000
12562	"25937"	1	"Patio"	"Acrylic"		"Green"	"14'9x11'7=170.81'"	0.0000
12563	"2294"	1	"Double hip BL1"	"acrylic"		"White"	"5'3x4=21'"	0.0000
12563	"2294"	1	"Ext LL1"	"Acrylic"		"White"	"9'4x3'7=33.44'"	0.0000
12563	"2294"	1	"Ext BL6"	"Acrylic"		"White"	"8'3x3'11=32.34'"	0.0000
12563	"2294"	1	"Ext BL5"	"Acrylic"		"White"	"9'5x3'11=36.93'"	0.0000
12563	"2294"	1	"Single BU1"	"Acrylic"		"White"	"3'3x3'2"	0.0000
12469	"17559"	1	"Ext R2"	"Acrylic"		"Fern Stripe"	"17'4x5'6=95.37'"	0.0000
12469	"17559"	1	"Ext R3"	"Acrylic"		"Fern Stripe"	"11x5'6=60.5'"	0.0000
12470	"15883"	1	"Patio - back"	"Acrylic"		"Black/Grey Stripe"	"23'4x13=303.42'"	0.0000
12470	"15883"	1	"Patio - left side"	"Acrylic"		"Black/Grey Stripe"	"20'4x10'9=218.66'"	0.0000
12471	"25847"	1	"Patio"	"Acrylic"		"Blue/Grey fancy"	"22'2x11'5=253.18'"	0.0000
12458	"7676"	1	"Ext B1"	"Acrylic"		"Pacific Blue/Grey Stripe"		0.0000
12472	"25848"	1	"Jib"	"Dacron"		"White"	"2#"	0.0000
12472	"25848"	1	"Main"	"Dacron"		"White"	"7#"	0.0000
12472	"25848"	1	"Sailcover"	"Acrylic"		"Linen"	"7#"	0.0000
12473	"25850"	1	"Mooring cover"	"Stamoid"		"Blue"	"~27x10=207.54'"	0.0000
12474	"25852"	1	"Freestander"	"Acrylic"		"Taupe/DkGreen/White"	"28x19'11=557.76'"	0.0000
12475	"19557"	1	"Patio"	"Acrylic"		"Navy/Grey"	"14'4x13'9=197.18'"	0.0000
12476	"23744"	1	"Patio-lg/2nd fl"	"Acrylic"		"Linen Tweed"	"15x14'4=215.1'"	0.0000
12477	"23744"	1	"Patio-lg/2nd fl"	"Acrylic"		"Linen Tweed"	"15x14'4=215.1'"	0.0000
12478	"23044"	1	"Patio"	"Acrylic"		"Green/Black Fancy"	"21x20'4=427.14'"	0.0000
12479	"2294"	1	"Double hip BL1"	"acrylic"		"White"	"5'3x4=21'"	0.0000
12479	"2294"	1	"Ext LL1"	"Acrylic"		"White"	"9'4x3'7=33.44'"	0.0000
12479	"2294"	1	"Ext BL6"	"Acrylic"		"White"	"8'3x3'11=32.34'"	0.0000
12479	"2294"	1	"Ext BL5"	"Acrylic"		"White"	"9'5x3'11=36.93'"	0.0000
12479	"2294"	1	"Single BU1"	"Acrylic"		"White"	"3'3x3'2"	0.0000
12479	"2294"	1	"Single BU2"	"Acrylic"		"White"	"2'7x3"	0.0000
12479	"2294"	1	"Single BU3"	"Acrylic"		"White"	"3'3x3"	0.0000
12479	"2294"	1	"Double BL2"	"Acrylic"		"White"	"4x3'3"	0.0000
12479	"2294"	1	"Double BL3"	"Acrylic"		"White"	"4x3'3"	0.0000
12479	"2294"	1	"Double BL4"	"Acrylic"		"White"	"4x3'3"	0.0000
12479	"2294"	1	"Single FU1"	"Acrylic"		"White"	"2'8x3'3"	0.0000
12479	"2294"	1	"Single FU2"	"Acrylic"		"White"	"2'8x3'3"	0.0000
12479	"2294"	1	"Single LU1"	"Acrylic"		"White"	"2'9x3'2"	0.0000
12479	"2294"	1	"Single LU2"	"Acrylic"		"White"	"2'8x3'3"	0.0000
12479	"2294"	1	"Single LU3"	"Acrylic"		"White"	"2'9x3'1"	0.0000
12481	"20907"	1	"Patio-L shape+flap+val"	"Acrylic"	"Ok"	"Black/White"	"24'9x15+13'5x5'5=584.73'"	0.0000
12482	"23050"	5	"Curtains"	"Acrylic"	"F13-Good"	"White"	"9'6x7'5=70.49'/"	0.0000
12483	"15902"	1	"Patio"	"Acrylic"		"Tan/Beige"	"14'4x12'3=176'"	0.0000
12484	"20772"	1	"L patio"	"Acrylic"		"Grey/White/Green Stripe"	"11'3x10'1+19'2x22'9=579.54'"	0.0000
12485	"2975"	1	"Single"	"acrylic"		"Yellow Stripe"	"3'11x2'5"	0.0000
12485	"2975"	1	"Triple"	"acrylic"		"Yellow Stripe"	"3'1x9'11=30.55'"	0.0000
12485	"2975"	1	"Extension"	"acrylic"		"Yellow Stripe"	"3'1x14'7=44.91'"	0.0000
12486	"20768"	1	"Ext #1"	"Acrylic"		"Brown Fancy"	"8'4x3'4"	0.0000
12486	"20768"	1	"Ext #2"	"Acrylic"		"Brown Fancy"	"8'4x3'4"	0.0000
12486	"20768"	1	"Ext #3"	"Acrylic"		"Brown Fancy"	"8'4x3'4"	0.0000
12487	"16752"	1	"Hip"	"Acrylic"	"Good"	"Green"	"5'4x5'7=29.8'"	0.0000
12487	"16752"	1	"Patio"	"Acrylic"	"Good"	"Green"	"17x15'8=266.39'"	0.0000
12488	"17592"	1	"Patio"	"Acrylic"	"Good"	"Grey/Navy Stripe"	"18'11x13'10=261.66'"	0.0000
12489	"1081"	1	"Patio-upper L-shape"	"acrylic"	"NewS12"	"Taupe/Aqua Stripe"	"15'11x10+26'4x5'1=318.13'"	0.0000
12480	"25858"	1	"Tent-Military/Vietnam era"	"Canvas"		"Olive drab"	"16x32"	0.0000
12489	"1081"	1	"Patio-lower"	"acrylic"	"NewS12"	"Taupe/Aqua Stripe"	"34'11x11'6=(393.72') 373'"	0.0000
12490	"1445"	1	"Patio"	"acrylic"	"New S98/Fair"	"Green"	"30'9x20=615'"	0.0000
12491	"6174"	1	"Lateral"	"acrylic"	"Good"	"Beige/Blue Fancy"	"13'6x11=148.5'"	0.0000
12491	"6174"	1	"Valance"	"acrylic"	"Good"	"Beige/Blue Fancy"	"13'6x8""=9.05'"	0.0000
12492	"24538"	1	"Patio-large"	"Acrylic"		"White/MultiGreen stripe"	"28'3x16'9=473'"	0.0000
12493	"16593"	1	"Patio"	"Acrylic"		"Green"	"14x9'1=130'"	0.0000
12494	"14802"	1	"L Patio"	"Acrylic"		"Teal Green"	"15'8x18'10+8'2x4=352.93'"	0.0000
12495	"18536"	1	"Patio"	"Acrylic"		"Green/TerraCotta/Multi"	"23'2x13'6=312.8'"	0.0000
12496	"21873"	1	"Cover"	"Acrylic"		"Blue"	"5'9x7'5=43.1'"	0.0000
12497	"25868"	1	"Back curtain 1"	"A+V+Screen"		"Black/Clear/Screen"	"5'4x5'4=28.52'"	0.0000
12498	"6571"	1	"Sailcover"	"Acrylic"	"Fair"	"Linen"	"18#"	0.0000
12499	"25870"	1	"Mooring cover"	"Acrylic"		"Tan"	"~27x11=262.58'"	0.0000
